trial,pair_ID,condition,set_number,within_trial,pair_similarity
12,15,3,2,4,0.23076923076923073
13,15,3,2,5,0.3846153846153846
14,15,3,2,6,0.46153846153846156
15,15,3,2,7,0.3076923076923077
16,15,3,2,8,0.46153846153846156
1,16,3,1,1,0.23076923076923073
2,16,3,1,2,0.23076923076923073
3,16,3,1,3,0.23076923076923073
4,16,3,1,4,0.3846153846153846
5,16,3,1,5,0.3846153846153846
6,16,3,1,6,0.3076923076923077
7,16,3,1,7,0.3076923076923077
8,16,3,1,8,0.46153846153846156
9,16,3,2,1,0.23076923076923073
10,16,3,2,2,0.3076923076923077
11,16,3,2,3,0.15384615384615385
12,16,3,2,4,0.3846153846153846
13,16,3,2,5,0.3846153846153846
14,16,3,2,6,0.46153846153846156
15,16,3,2,7,0.46153846153846156
16,16,3,2,8,0.46153846153846156
1,17,3,1,1,0.3076923076923077
2,17,3,1,2,0.3846153846153846
3,17,3,1,3,0.23076923076923073
4,17,3,1,4,0.3846153846153846
5,17,3,1,5,0.5384615384615384
6,17,3,1,6,0.3846153846153846
7,17,3,1,7,0.3846153846153846
8,17,3,1,8,0.5384615384615384
9,17,3,2,1,0.46153846153846156
10,17,3,2,2,0.46153846153846156
11,17,3,2,3,0.46153846153846156
12,17,3,2,4,0.46153846153846156
13,17,3,2,5,0.46153846153846156
14,17,3,2,6,0.3846153846153846
15,17,3,2,7,0.3076923076923077
16,17,3,2,8,0.3076923076923077
1,18,3,1,1,0.3846153846153846
2,18,3,1,2,0.5384615384615384
3,18,3,1,3,0.3846153846153846
4,18,3,1,4,0.46153846153846156
5,18,3,1,5,0.46153846153846156
6,18,3,1,6,0.6153846153846154
7,18,3,1,7,0.6923076923076923
8,18,3,1,8,0.6923076923076923
9,18,3,2,1,0.3846153846153846
10,18,3,2,2,0.3076923076923077
11,18,3,2,3,0.3846153846153846
12,18,3,2,4,0.46153846153846156
13,18,3,2,5,0.5384615384615384
14,18,3,2,6,0.5384615384615384
15,18,3,2,7,0.46153846153846156
16,18,3,2,8,0.6153846153846154
1,19,3,1,1,0.3846153846153846
2,19,3,1,2,0.3846153846153846
3,19,3,1,3,0.6923076923076923
4,19,3,1,4,0.6153846153846154
5,19,3,1,5,0.3846153846153846
6,19,3,1,6,0.6153846153846154
7,19,3,1,7,0.46153846153846156
8,19,3,1,8,0.3846153846153846
9,19,3,2,1,0.3076923076923077
10,19,3,2,2,0.3846153846153846
11,19,3,2,3,0.3076923076923077
12,19,3,2,4,0.46153846153846156
13,19,3,2,5,0.3846153846153846
14,19,3,2,6,0.46153846153846156
15,19,3,2,7,0.46153846153846156
16,19,3,2,8,0.3076923076923077
1,20,3,1,1,0.3846153846153846
2,20,3,1,2,0.3076923076923077
3,20,3,1,3,0.3846153846153846
4,20,3,1,4,0.46153846153846156
5,20,3,1,5,0.6153846153846154
6,20,3,1,6,0.6153846153846154
7,20,3,1,7,0.46153846153846156
8,20,3,1,8,0.6923076923076923
9,20,3,2,1,0.3076923076923077
10,20,3,2,2,0.46153846153846156
11,20,3,2,3,0.3076923076923077
12,20,3,2,4,0.3076923076923077
13,20,3,2,5,0.3076923076923077
14,20,3,2,6,0.5384615384615384
15,20,3,2,7,0.3846153846153846
16,20,3,2,8,0.3846153846153846
1,21,3,1,1,0.3076923076923077
2,21,3,1,2,0.46153846153846156
3,21,3,1,3,0.6923076923076923
4,21,3,1,4,0.46153846153846156
5,21,3,1,5,0.5384615384615384
6,21,3,1,6,0.5384615384615384
7,21,3,1,7,0.46153846153846156
8,21,3,1,8,0.46153846153846156
9,21,3,2,1,0.3076923076923077
10,21,3,2,2,0.5384615384615384
11,21,3,2,3,0.46153846153846156
12,21,3,2,4,0.46153846153846156
13,21,3,2,5,0.5384615384615384
14,21,3,2,6,0.5384615384615384
15,21,3,2,7,0.46153846153846156
16,21,3,2,8,0.46153846153846156
1,22,3,1,1,0.23076923076923073
2,22,3,1,2,0.23076923076923073
3,22,3,1,3,0.3846153846153846
4,22,3,1,4,0.3846153846153846
5,22,3,1,5,0.3076923076923077
6,22,3,1,6,0.3076923076923077
7,22,3,1,7,0.3076923076923077
8,22,3,1,8,0.23076923076923073
9,22,3,2,1,0.3846153846153846
10,22,3,2,2,0.3846153846153846
11,22,3,2,3,0.5384615384615384
12,22,3,2,4,0.46153846153846156
13,22,3,2,5,0.46153846153846156
14,22,3,2,6,0.3076923076923077
15,22,3,2,7,0.3846153846153846
16,22,3,2,8,0.46153846153846156
1,23,3,1,1,0.3846153846153846
2,23,3,1,2,0.5384615384615384
3,23,3,1,3,0.3076923076923077
4,23,3,1,4,0.5384615384615384
5,23,3,1,5,0.3076923076923077
